step,train_loss,eval_rmse,grad_norm,step_time
134,1.697152e-02,,1.751618e-03,0.046
135,1.620872e-02,,5.498184e-04,0.048
136,1.446281e-02,,8.953137e-04,0.046
137,1.173788e-02,,2.455174e-03,0.046
138,1.343139e-02,,1.838512e-03,0.045
139,1.239420e-02,,1.227989e-03,0.046
140,1.505662e-02,8.668177e-02,6.523530e-04,0.044
141,1.797677e-02,,2.229679e-03,0.045
142,1.376724e-02,,1.118023e-03,0.044
143,1.480953e-02,,1.623152e-03,0.046
144,1.381266e-02,,1.154008e-03,0.045
145,1.160321e-02,,2.547004e-03,0.044
146,1.739270e-02,,2.636010e-03,0.046
147,1.202741e-02,,4.214290e-03,0.046
148,1.540324e-02,,7.297688e-04,0.047
149,1.566548e-02,,1.568437e-03,0.044
150,1.475455e-02,8.575752e-02,1.049281e-03,0.048
151,1.390775e-02,,5.396731e-04,0.049
152,1.254413e-02,,2.831664e-03,0.045
153,1.463347e-02,,8.349598e-04,0.046
154,1.306372e-02,,1.116181e-03,0.050
155,1.267023e-02,,1.977551e-03,0.046
156,1.253215e-02,,1.014144e-03,0.047
157,1.014412e-02,,1.588392e-03,0.047
158,9.285854e-03,,3.151905e-03,0.047
159,1.219787e-02,,7.999916e-04,0.046
160,1.134896e-02,8.400884e-02,4.982384e-04,0.046
161,1.086051e-02,,2.510626e-03,0.047
162,1.564018e-02,,2.161946e-03,0.045
163,1.052666e-02,,3.898823e-04,0.046
164,1.420801e-02,,5.781729e-04,0.048
165,1.309053e-02,,1.417134e-03,0.046
166,1.420266e-02,,7.431019e-04,0.048
167,1.081163e-02,,4.519983e-04,0.047
168,1.407580e-02,,9.930003e-04,0.048
169,1.536553e-02,,5.868936e-04,0.047
170,1.078160e-02,8.283883e-02,8.851570e-04,0.048
171,1.176579e-02,,5.825118e-04,0.050
172,1.585756e-02,,2.083006e-03,0.044
173,1.097013e-02,,1.660313e-03,0.047
174,1.459085e-02,,6.992485e-04,0.045
175,1.073392e-02,,2.856396e-04,0.045
176,1.188971e-02,,6.977262e-04,0.045
177,1.448868e-02,,6.940068e-04,0.047
178,1.497752e-02,,1.406163e-03,0.046
179,1.503743e-02,,1.244559e-03,0.048
